dcid,sentence
dc/topic/Export,Agriculture
dc/topic/Inflation,Agriculture
dc/topic/NutritionalIntake,MOSPI Nutritional Intake
Amount_EconomicActivity_Factory_Emolument,Total compensation for factory workers
Amount_EconomicActivity_Factory_Emolument_BasicMetals,Total compensation of basic material factory
Amount_EconomicActivity_Factory_Emolument_Beverages,Total compensation of beverages factory
Amount_EconomicActivity_Factory_Emolument_ChemicalProducts,Total compensation of chemical products factory
Amount_EconomicActivity_Factory_Emolument_CokeAndPetroleum,Total compensation of coke and petroleum factory
Amount_EconomicActivity_Factory_Emolument_CottonGinningAndSeeds,Total compensation of cotton ginning and seeds factory
Amount_EconomicActivity_Factory_Emolument_ElectricalEquipment,Total compensation of electrical equipment factory
Amount_EconomicActivity_Factory_Emolument_ElectronicsAndOpticals,Total compensation of electronics and optical factory
Amount_EconomicActivity_Factory_Emolument_FabricatedMetalProducts,Total compensation of fabricated metal products factory
Amount_EconomicActivity_Factory_Emolument_FoodProducts,Total compensation of food products factory
Amount_EconomicActivity_Factory_Emolument_Furniture,Total compensation of furniture factory
Amount_EconomicActivity_Factory_Emolument_LeatherProducts,Total compensation of leather products factory
Amount_EconomicActivity_Factory_Emolument_MOSPIOtherIndustries,Total compensation of other industries factory
Amount_EconomicActivity_Factory_Emolument_MOSPIOtherManufacturing,Total compensation of other manufacturing factory
Amount_EconomicActivity_Factory_Emolument_MOSPIOtherTransportEquipment,Total compensation of other transport equipment factory
Amount_EconomicActivity_Factory_Emolument_MachineryNEC,Total compensation of machinery NEC factory
Amount_EconomicActivity_Factory_Emolument_MachineryRepair,Total compensation of machinery repair factory
Amount_EconomicActivity_Factory_Emolument_MotorVehiclesAndTrailers,Total compensation of motor vehicles and trailers factory
Amount_EconomicActivity_Factory_Emolument_NonMetallicMinerals,Total compensation of non metallic minerals factory
Amount_EconomicActivity_Factory_Emolument_PaperAndPaperProducts,Total compensation of paper and paper products factory
Amount_EconomicActivity_Factory_Emolument_Pharmaceuticals,Total compensation of pharmaceuticals factory
Amount_EconomicActivity_Factory_Emolument_PrintingAndMedia,Total compensation of printing and media factory
Amount_EconomicActivity_Factory_Emolument_PublishingActivities,Total compensation of publishing activities factory
Amount_EconomicActivity_Factory_Emolument_RubberAndPlastics,Total compensation of rubber and plastics factory
Amount_EconomicActivity_Factory_Emolument_Rural,Total compensation for rural factory workers
Amount_EconomicActivity_Factory_Emolument_SaltProduction,Total compensation of salt production factory
Amount_EconomicActivity_Factory_Emolument_Textiles,Total compensation of textiles factory
Amount_EconomicActivity_Factory_Emolument_TobaccoProducts,Total compensation of tobacco products factory
Amount_EconomicActivity_Factory_Emolument_WasteAndRecovery,Total compensation of waste and recovery factory
Amount_EconomicActivity_Factory_Emolument_WearingApparel,Total compensation of wearing apparel factory
Amount_EconomicActivity_Factory_Emolument_WoodAndCorkProducts,Total compensation of wood and cork products factory
Amount_EconomicActivity_Factory_FixedCapital,Total fixed capital investment of factory
Amount_EconomicActivity_Factory_FixedCapital_AsAFractionOf_Count_Establishment_Factory,Mean fixed capital per factory
Amount_EconomicActivity_Factory_FixedCapital_BasicMetals,Total fixed capital of basic metals factory
