observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1180,dcid:NDAP_Census2011_Population_Total,12541302,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_Population_Male,6640662,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_Population_Female,5900640,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_Literate_Total,7067233,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_Literate_Male,4264671,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_Literate_Female,2802562,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_SC_Population,924991,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_ST_Population,1493299,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_Workers_Total,4322713,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1180,dcid:NDAP_Census2011_Children_0_6,2018905,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_Population_Total,6864602,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_Population_Male,3481873,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_Population_Female,3382729,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_Literate_Total,5039736,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_Literate_Male,2752590,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_Literate_Female,2287146,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_SC_Population,1729252,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_ST_Population,392126,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_Workers_Total,3559422,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1177,dcid:NDAP_Census2011_Children_0_6,777898,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_Population_Total,27743338,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_Population_Male,14639465,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_Population_Female,13103873,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_Literate_Total,18707137,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_Literate_Male,10436056,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_Literate_Female,8271081,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_SC_Population,8860179,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_ST_Population,0,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_Workers_Total,9897362,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q22424,dcid:NDAP_Census2011_Children_0_6,3076219,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_Population_Total,1055450,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_Population_Male,580663,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_Population_Female,474787,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_Literate_Total,805438,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_Literate_Male,465346,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_Literate_Female,340092,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_SC_Population,199086,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_ST_Population,0,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_Workers_Total,404136,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q43110,dcid:NDAP_Census2011_Children_0_6,119434,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_Population_Total,10086292,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_Population_Male,5137773,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_Population_Female,4948519,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_Literate_Total,6880953,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_Literate_Male,3863708,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_Literate_Female,3017245,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_SC_Population,1892516,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_ST_Population,291903,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_Workers_Total,3872275,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1904,dcid:NDAP_Census2011_Children_0_6,1355814,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_Population_Total,25351462,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_Population_Male,13494734,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_Population_Female,11856728,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_Literate_Total,16598988,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_Literate_Male,9794067,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_Literate_Female,6804921,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_SC_Population,5113615,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_ST_Population,0,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_Workers_Total,8916508,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1174,dcid:NDAP_Census2011_Children_0_6,3380721,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_Population_Total,16787941,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_Population_Male,8987326,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_Population_Female,7800615,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_Literate_Total,12737767,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_Literate_Male,7194856,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_Literate_Female,5542911,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_SC_Population,2812309,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_ST_Population,0,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_Workers_Total,5587049,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1353,dcid:NDAP_Census2011_Children_0_6,2012454,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1437,dcid:NDAP_Census2011_Population_Total,68548437,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1437,dcid:NDAP_Census2011_Population_Male,35550997,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1437,dcid:NDAP_Census2011_Population_Female,32997440,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1437,dcid:NDAP_Census2011_Literate_Total,38275282,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1437,dcid:NDAP_Census2011_Literate_Male,23688412,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1437,dcid:NDAP_Census2011_Literate_Female,14586870,Count,NDAP_Census2011_PCA,P1Y
