observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2024,wikidataId/Q1505,dcid:NDAP_NHM_RCH_Allocation,790.41,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1505,dcid:NDAP_NHM_NDCP_Allocation,1066.62,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1505,dcid:NDAP_NHM_NCD_Allocation,394.82,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1505,dcid:NDAP_NHM_HSSU_Allocation,160.34,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1505,dcid:NDAP_NHM_HSSR_Allocation,5145.49,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1505,dcid:NDAP_NHM_Total_Allocation,7557.66,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q677037,dcid:NDAP_NHM_RCH_Allocation,1638.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q677037,dcid:NDAP_NHM_NDCP_Allocation,1994.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q677037,dcid:NDAP_NHM_NCD_Allocation,52.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q677037,dcid:NDAP_NHM_HSSU_Allocation,235.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q677037,dcid:NDAP_NHM_HSSR_Allocation,119.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q677037,dcid:NDAP_NHM_Total_Allocation,4039.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q677037,dcid:NDAP_NHM_RCH_Allocation,1541.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q677037,dcid:NDAP_NHM_NDCP_Allocation,1706.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q677037,dcid:NDAP_NHM_NCD_Allocation,25.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q677037,dcid:NDAP_NHM_HSSU_Allocation,235.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q677037,dcid:NDAP_NHM_HSSR_Allocation,109.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q677037,dcid:NDAP_NHM_Total_Allocation,3616.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2025,wikidataId/Q1159,dcid:NDAP_NHM_Total_Allocation,9121.07,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
