observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2025,wikidataId/Q1159,dcid:NDAP_NHM_NTEP_Allocation,724.52,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q1164,dcid:NDAP_NHM_NTEP_Allocation,5069.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q1164,dcid:NDAP_NHM_NTEP_Allocation,5323.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q1165,dcid:NDAP_NHM_NTEP_Allocation,4324.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q1165,dcid:NDAP_NHM_NTEP_Allocation,4540.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q1171,dcid:NDAP_NHM_NTEP_Allocation,338.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q1171,dcid:NDAP_NHM_NTEP_Allocation,355.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2021,wikidataId/Q1061,dcid:NDAP_NHM_NTEP_Allocation,6345.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1186,dcid:NDAP_NHM_NTEP_Allocation,7123.51,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q200667,dcid:NDAP_NHM_NTEP_Allocation,641.1,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q1502,dcid:NDAP_NHM_NTEP_Allocation,1485.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q1502,dcid:NDAP_NHM_NTEP_Allocation,1559.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q22048,dcid:NDAP_NHM_NTEP_Allocation,9753.24,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2025,wikidataId/Q22048,dcid:NDAP_NHM_NTEP_Allocation,9285.51,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q22424,dcid:NDAP_NHM_NTEP_Allocation,4341.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q22424,dcid:NDAP_NHM_NTEP_Allocation,4558.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1505,dcid:NDAP_NHM_NTEP_Allocation,1365.83,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q677037,dcid:NDAP_NHM_NTEP_Allocation,930.95,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q677037,dcid:NDAP_NHM_NTEP_Allocation,615.92,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1363,dcid:NDAP_NHM_NTEP_Allocation,490.94,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q1498,dcid:NDAP_NHM_NTEP_Allocation,14193.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q1499,dcid:NDAP_NHM_NTEP_Allocation,2455.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q1061,dcid:NDAP_NHM_NTEP_Allocation,17603.83,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1061,dcid:NDAP_NHM_NTEP_Allocation,21402.99,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2025,wikidataId/Q1184,dcid:NDAP_NHM_NTEP_Allocation,1005.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2026,wikidataId/Q1184,dcid:NDAP_NHM_NTEP_Allocation,1055.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q1186,dcid:NDAP_NHM_NTEP_Allocation,7263.58,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q200667,dcid:NDAP_NHM_NTEP_Allocation,296.91,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2023,wikidataId/Q1180,dcid:NDAP_NHM_NTEP_Allocation,2415.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2024,wikidataId/Q1180,dcid:NDAP_NHM_NTEP_Allocation,2536.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2022,wikidataId/Q1193,dcid:NDAP_NHM_NTEP_Allocation,2359.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2025,wikidataId/Q1195,dcid:NDAP_NHM_NTEP_Allocation,419.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
2026,wikidataId/Q1195,dcid:NDAP_NHM_NTEP_Allocation,440.0,INRLakh,NDAP_MoHFW_NHM_ROP,P1Y
