observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2001,wikidataId/Q1159,dcid:NDAP_PopulationDensity_Total,277,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1159,dcid:NDAP_PopulationDensity_Total,308,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1162,dcid:NDAP_PopulationDensity_Total,13,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1162,dcid:NDAP_PopulationDensity_Total,17,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1164,dcid:NDAP_PopulationDensity_Total,340,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1164,dcid:NDAP_PopulationDensity_Total,398,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1165,dcid:NDAP_PopulationDensity_Total,881,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1165,dcid:NDAP_PopulationDensity_Total,1106,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1168,dcid:NDAP_PopulationDensity_Total,154,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1168,dcid:NDAP_PopulationDensity_Total,189,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1171,dcid:NDAP_PopulationDensity_Total,364,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1171,dcid:NDAP_PopulationDensity_Total,394,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1061,dcid:NDAP_PopulationDensity_Total,258,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1061,dcid:NDAP_PopulationDensity_Total,308,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1174,dcid:NDAP_PopulationDensity_Total,478,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1174,dcid:NDAP_PopulationDensity_Total,573,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1177,dcid:NDAP_PopulationDensity_Total,109,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1177,dcid:NDAP_PopulationDensity_Total,123,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1180,dcid:NDAP_PopulationDensity_Total,100,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1180,dcid:NDAP_PopulationDensity_Total,124,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1184,dcid:NDAP_PopulationDensity_Total,338,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
