observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1159,dcid:NDAP_SlumHouseholds_Total,2431474,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1159,dcid:NDAP_SlumHouseholdSize_Avg,4.2,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumHouseholds_Total,3479,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumHouseholdSize_Avg,4.5,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumHouseholds_Total,42533,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumHouseholdSize_Avg,4.6,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumHouseholds_Total,216496,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumHouseholdSize_Avg,5.7,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumHouseholds_Total,413831,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumHouseholdSize_Avg,4.6,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumHouseholds_Total,5497,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumHouseholdSize_Avg,4.8,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumHouseholds_Total,345998,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumHouseholdSize_Avg,4.9,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumHouseholds_Total,332697,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumHouseholdSize_Avg,5.0,Count,NDAP_NBO_SlumCompendium2015,P1Y
