observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1159,dcid:NDAP_SlumHousing_Good,1807032,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1159,dcid:NDAP_SlumHousing_Livable,557387,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1159,dcid:NDAP_SlumHousing_Dilapidated,44044,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumHousing_Good,1605,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumHousing_Livable,2127,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumHousing_Dilapidated,259,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumHousing_Good,21477,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumHousing_Livable,21504,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumHousing_Dilapidated,5058,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumHousing_Good,79566,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumHousing_Livable,91745,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumHousing_Dilapidated,18640,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumHousing_Good,225119,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumHousing_Livable,154133,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumHousing_Dilapidated,12444,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumHousing_Good,2650,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumHousing_Livable,2044,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumHousing_Dilapidated,143,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumHousing_Good,172898,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumHousing_Livable,177098,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
