observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1159,dcid:NDAP_SlumLiteracyRate_Total,75.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1159,dcid:NDAP_SlumLiteracyRate_Male,81.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1159,dcid:NDAP_SlumLiteracyRate_Female,68.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumLiteracyRate_Total,69.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumLiteracyRate_Male,76.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumLiteracyRate_Female,62.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumLiteracyRate_Total,81.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumLiteracyRate_Male,86.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumLiteracyRate_Female,76.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumLiteracyRate_Total,68.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumLiteracyRate_Male,75.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumLiteracyRate_Female,60.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumLiteracyRate_Total,80.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumLiteracyRate_Male,88.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumLiteracyRate_Female,72.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumLiteracyRate_Total,82.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumLiteracyRate_Male,88.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumLiteracyRate_Female,75.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumLiteracyRate_Total,70.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumLiteracyRate_Male,78.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumLiteracyRate_Female,61.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumLiteracyRate_Total,75.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumLiteracyRate_Male,83.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumLiteracyRate_Female,67.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1177,dcid:NDAP_SlumLiteracyRate_Total,87.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1177,dcid:NDAP_SlumLiteracyRate_Male,90.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1177,dcid:NDAP_SlumLiteracyRate_Female,84.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1180,dcid:NDAP_SlumLiteracyRate_Total,68.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1180,dcid:NDAP_SlumLiteracyRate_Male,75.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1180,dcid:NDAP_SlumLiteracyRate_Female,59.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1184,dcid:NDAP_SlumLiteracyRate_Total,75.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1184,dcid:NDAP_SlumLiteracyRate_Male,82.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1184,dcid:NDAP_SlumLiteracyRate_Female,67.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1185,dcid:NDAP_SlumLiteracyRate_Total,75.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1185,dcid:NDAP_SlumLiteracyRate_Male,81.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1185,dcid:NDAP_SlumLiteracyRate_Female,69.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1186,dcid:NDAP_SlumLiteracyRate_Total,93.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1186,dcid:NDAP_SlumLiteracyRate_Male,95.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1186,dcid:NDAP_SlumLiteracyRate_Female,91.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumLiteracyRate_Total,77.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumLiteracyRate_Male,84.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumLiteracyRate_Female,69.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumLiteracyRate_Total,84.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumLiteracyRate_Male,89.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumLiteracyRate_Female,79.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1195,dcid:NDAP_SlumLiteracyRate_Total,89.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1195,dcid:NDAP_SlumLiteracyRate_Male,90.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1195,dcid:NDAP_SlumLiteracyRate_Female,87.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1502,dcid:NDAP_SlumLiteracyRate_Total,98.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1502,dcid:NDAP_SlumLiteracyRate_Male,98.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1502,dcid:NDAP_SlumLiteracyRate_Female,97.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1599,dcid:NDAP_SlumLiteracyRate_Total,88.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1599,dcid:NDAP_SlumLiteracyRate_Male,90.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1599,dcid:NDAP_SlumLiteracyRate_Female,86.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q22048,dcid:NDAP_SlumLiteracyRate_Total,78.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q22048,dcid:NDAP_SlumLiteracyRate_Male,85.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q22048,dcid:NDAP_SlumLiteracyRate_Female,71.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q22424,dcid:NDAP_SlumLiteracyRate_Total,74.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q22424,dcid:NDAP_SlumLiteracyRate_Male,78.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q22424,dcid:NDAP_SlumLiteracyRate_Female,69.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1437,dcid:NDAP_SlumLiteracyRate_Total,69.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1437,dcid:NDAP_SlumLiteracyRate_Male,79.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1437,dcid:NDAP_SlumLiteracyRate_Female,58.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumLiteracyRate_Total,88.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumLiteracyRate_Male,92.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumLiteracyRate_Female,83.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumLiteracyRate_Total,82.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumLiteracyRate_Male,88.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumLiteracyRate_Female,76.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumLiteracyRate_Total,90.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumLiteracyRate_Male,93.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumLiteracyRate_Female,88.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumLiteracyRate_Total,69.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumLiteracyRate_Male,75.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumLiteracyRate_Female,61.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumLiteracyRate_Total,76.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumLiteracyRate_Male,82.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumLiteracyRate_Female,70.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1356,dcid:NDAP_SlumLiteracyRate_Total,81.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1356,dcid:NDAP_SlumLiteracyRate_Male,85.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1356,dcid:NDAP_SlumLiteracyRate_Female,76.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q40888,dcid:NDAP_SlumLiteracyRate_Total,82.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q40888,dcid:NDAP_SlumLiteracyRate_Male,88.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q40888,dcid:NDAP_SlumLiteracyRate_Female,77.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q43433,dcid:NDAP_SlumLiteracyRate_Total,66.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q43433,dcid:NDAP_SlumLiteracyRate_Male,75.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q43433,dcid:NDAP_SlumLiteracyRate_Female,54.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1353,dcid:NDAP_SlumLiteracyRate_Total,75.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1353,dcid:NDAP_SlumLiteracyRate_Male,80.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1353,dcid:NDAP_SlumLiteracyRate_Female,68.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q66583,dcid:NDAP_SlumLiteracyRate_Total,81.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q66583,dcid:NDAP_SlumLiteracyRate_Male,87.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q66583,dcid:NDAP_SlumLiteracyRate_Female,75.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,country/IND,dcid:NDAP_SlumLiteracyRate_Total,77.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,country/IND,dcid:NDAP_SlumLiteracyRate_Male,83.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,country/IND,dcid:NDAP_SlumLiteracyRate_Female,71.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
