observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1159,dcid:NDAP_SlumPopulation_Statewise,10186934,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1159,dcid:NDAP_SlumPctOfUrban_Statewise,36.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumPopulation_Statewise,15562,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumPctOfUrban_Statewise,4.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumPopulation_Statewise,197266,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumPctOfUrban_Statewise,4.48,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumPopulation_Statewise,1237682,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumPctOfUrban_Statewise,10.53,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumPopulation_Statewise,1898931,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumPctOfUrban_Statewise,31.98,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumPopulation_Statewise,26247,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumPctOfUrban_Statewise,2.89,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumPopulation_Statewise,1680095,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumPctOfUrban_Statewise,6.53,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumPopulation_Statewise,1662305,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumPctOfUrban_Statewise,18.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1177,dcid:NDAP_SlumPopulation_Statewise,61312,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1177,dcid:NDAP_SlumPctOfUrban_Statewise,8.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1180,dcid:NDAP_SlumPopulation_Statewise,662062,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1180,dcid:NDAP_SlumPctOfUrban_Statewise,19.28,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1184,dcid:NDAP_SlumPopulation_Statewise,372999,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1184,dcid:NDAP_SlumPctOfUrban_Statewise,4.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1185,dcid:NDAP_SlumPopulation_Statewise,3291434,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1185,dcid:NDAP_SlumPctOfUrban_Statewise,13.93,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1186,dcid:NDAP_SlumPopulation_Statewise,202048,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1186,dcid:NDAP_SlumPctOfUrban_Statewise,1.27,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumPopulation_Statewise,5688993,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumPctOfUrban_Statewise,28.35,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumPopulation_Statewise,11848423,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumPctOfUrban_Statewise,23.32,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1195,dcid:NDAP_SlumPopulation_Statewise,57418,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1195,dcid:NDAP_SlumPctOfUrban_Statewise,9.64,Percent,NDAP_NBO_SlumCompendium2015,P1Y
