observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1159,dcid:NDAP_SlumWorkParticipation_Total,37.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1159,dcid:NDAP_SlumWorkParticipation_Male,54.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1159,dcid:NDAP_SlumWorkParticipation_Female,20.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumWorkParticipation_Total,32.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumWorkParticipation_Male,49.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1162,dcid:NDAP_SlumWorkParticipation_Female,13.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumWorkParticipation_Total,36.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumWorkParticipation_Male,57.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1164,dcid:NDAP_SlumWorkParticipation_Female,13.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumWorkParticipation_Total,29.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumWorkParticipation_Male,44.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1165,dcid:NDAP_SlumWorkParticipation_Female,11.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumWorkParticipation_Total,36.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumWorkParticipation_Male,53.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1168,dcid:NDAP_SlumWorkParticipation_Female,18.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumWorkParticipation_Total,39.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumWorkParticipation_Male,57.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1171,dcid:NDAP_SlumWorkParticipation_Female,19.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumWorkParticipation_Total,38.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumWorkParticipation_Male,59.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1061,dcid:NDAP_SlumWorkParticipation_Female,14.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumWorkParticipation_Total,31.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumWorkParticipation_Male,50.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1174,dcid:NDAP_SlumWorkParticipation_Female,10.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1177,dcid:NDAP_SlumWorkParticipation_Total,37.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1177,dcid:NDAP_SlumWorkParticipation_Male,53.2,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1177,dcid:NDAP_SlumWorkParticipation_Female,20.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1180,dcid:NDAP_SlumWorkParticipation_Total,30.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1180,dcid:NDAP_SlumWorkParticipation_Male,46.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1180,dcid:NDAP_SlumWorkParticipation_Female,13.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1184,dcid:NDAP_SlumWorkParticipation_Total,31.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1184,dcid:NDAP_SlumWorkParticipation_Male,48.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1184,dcid:NDAP_SlumWorkParticipation_Female,14.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1185,dcid:NDAP_SlumWorkParticipation_Total,40.4,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1185,dcid:NDAP_SlumWorkParticipation_Male,57.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1185,dcid:NDAP_SlumWorkParticipation_Female,23.6,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1186,dcid:NDAP_SlumWorkParticipation_Total,35.9,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1186,dcid:NDAP_SlumWorkParticipation_Male,55.7,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1186,dcid:NDAP_SlumWorkParticipation_Female,17.3,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumWorkParticipation_Total,35.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumWorkParticipation_Male,51.8,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumWorkParticipation_Female,17.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumWorkParticipation_Total,38.1,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumWorkParticipation_Male,56.5,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumWorkParticipation_Female,17.0,Percent,NDAP_NBO_SlumCompendium2015,P1Y
