observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2013,wikidataId/Q1159,dcid:NDAP_BirthRate_Total,17.4,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1159,dcid:NDAP_DeathRate_Total,7.3,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1159,dcid:NDAP_NaturalGrowthRate_Total,10.0,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1159,dcid:NDAP_InfantMortalityRate_Total,39,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1162,dcid:NDAP_BirthRate_Total,19.3,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1162,dcid:NDAP_DeathRate_Total,5.8,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1162,dcid:NDAP_NaturalGrowthRate_Total,13.4,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1162,dcid:NDAP_InfantMortalityRate_Total,32,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1164,dcid:NDAP_BirthRate_Total,22.4,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1164,dcid:NDAP_DeathRate_Total,7.8,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1164,dcid:NDAP_NaturalGrowthRate_Total,14.5,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1164,dcid:NDAP_InfantMortalityRate_Total,54,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1165,dcid:NDAP_BirthRate_Total,27.6,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1165,dcid:NDAP_DeathRate_Total,6.6,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1165,dcid:NDAP_NaturalGrowthRate_Total,21.0,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1165,dcid:NDAP_InfantMortalityRate_Total,42,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1168,dcid:NDAP_BirthRate_Total,24.4,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1168,dcid:NDAP_DeathRate_Total,7.9,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1168,dcid:NDAP_NaturalGrowthRate_Total,16.5,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1168,dcid:NDAP_InfantMortalityRate_Total,46,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1171,dcid:NDAP_BirthRate_Total,13.0,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1171,dcid:NDAP_DeathRate_Total,6.6,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1171,dcid:NDAP_NaturalGrowthRate_Total,6.4,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1171,dcid:NDAP_InfantMortalityRate_Total,9,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1061,dcid:NDAP_BirthRate_Total,20.8,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1061,dcid:NDAP_DeathRate_Total,6.5,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1061,dcid:NDAP_NaturalGrowthRate_Total,14.3,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1061,dcid:NDAP_InfantMortalityRate_Total,36,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1174,dcid:NDAP_BirthRate_Total,21.3,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1174,dcid:NDAP_DeathRate_Total,6.3,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1174,dcid:NDAP_NaturalGrowthRate_Total,15.0,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1174,dcid:NDAP_InfantMortalityRate_Total,41,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1177,dcid:NDAP_BirthRate_Total,16.0,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1177,dcid:NDAP_DeathRate_Total,6.7,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1177,dcid:NDAP_NaturalGrowthRate_Total,9.4,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1177,dcid:NDAP_InfantMortalityRate_Total,35,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1180,dcid:NDAP_BirthRate_Total,17.5,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1180,dcid:NDAP_DeathRate_Total,5.3,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1180,dcid:NDAP_NaturalGrowthRate_Total,12.1,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1180,dcid:NDAP_InfantMortalityRate_Total,37,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1184,dcid:NDAP_BirthRate_Total,24.6,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1184,dcid:NDAP_DeathRate_Total,6.8,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1184,dcid:NDAP_NaturalGrowthRate_Total,17.8,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1184,dcid:NDAP_InfantMortalityRate_Total,37,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1185,dcid:NDAP_BirthRate_Total,18.3,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1185,dcid:NDAP_DeathRate_Total,7.0,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1185,dcid:NDAP_NaturalGrowthRate_Total,11.3,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
2013,wikidataId/Q1185,dcid:NDAP_InfantMortalityRate_Total,31,PerThousand,NDAP_NBO_SlumCompendium2015_SRS,P1Y
